"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"77",3,3,3,3,2,0,0,1,0,-1,3
"78",3,3,3,2,3,0,1,0,-1,0,1
"79",3,3,2,3,1,1,0,-1,0,1,3
"80",3,2,3,1,3,0,-1,0,1,-1,3
"81",2,3,1,3,3,-1,0,1,-1,0,3
"82",3,1,3,3,3,0,1,-1,0,1,3
"83",1,3,3,3,3,1,-1,0,1,-1,2
"84",3,3,3,3,2,-1,0,1,-1,-1,2
"85",3,3,3,2,2,0,1,-1,-1,1,2
"86",3,3,2,2,2,1,-1,-1,1,1,2
"87",3,2,2,2,2,-1,-1,1,1,0,1
"88",2,2,2,2,1,-1,1,1,0,1,1
"89",2,2,2,1,1,1,1,0,1,-1,2
"90",2,2,1,1,2,1,0,1,-1,0,2
"91",2,1,1,2,2,0,1,-1,0,1,3
"92",1,1,2,2,3,1,-1,0,1,-1,3
"93",1,2,2,3,3,-1,0,1,-1,0,2
"94",2,2,3,3,2,0,1,-1,0,0,3
"95",2,3,3,2,3,1,-1,0,0,-1,2
"96",3,3,2,3,2,-1,0,0,-1,0,2
"97",3,2,3,2,2,0,0,-1,0,-1,1
"98",2,3,2,2,1,0,-1,0,-1,0,1
"99",3,2,2,1,1,-1,0,-1,0,0,1
"100",2,2,1,1,1,0,-1,0,0,0,1
"101",2,1,1,1,1,-1,0,0,0,1,1
"102",1,1,1,1,1,0,0,0,1,-1,1
"103",1,1,1,1,1,0,0,1,-1,-1,2
"104",1,1,1,1,2,0,1,-1,-1,-1,2
"105",1,1,1,2,2,1,-1,-1,-1,-1,2
"106",1,1,2,2,2,-1,-1,-1,-1,-1,2
"107",1,2,2,2,2,-1,-1,-1,-1,-1,2
"108",2,2,2,2,2,-1,-1,-1,-1,1,2
"109",2,2,2,2,2,-1,-1,-1,1,1,3
"110",2,2,2,2,3,-1,-1,1,1,-1,2
"111",2,2,2,3,2,-1,1,1,-1,0,1
"112",2,2,3,2,1,1,1,-1,0,1,3
"113",2,3,2,1,3,1,-1,0,1,0,1
"114",3,2,1,3,1,-1,0,1,0,-1,2
"115",2,1,3,1,2,0,1,0,-1,1,1
"116",1,3,1,2,1,1,0,-1,1,0,1
"117",3,1,2,1,1,0,-1,1,0,1,1
"118",1,2,1,1,1,-1,1,0,1,1,3
"119",2,1,1,1,3,1,0,1,1,1,2
"120",1,1,1,3,2,0,1,1,1,1,3
"121",1,1,3,2,3,1,1,1,1,1,2
"122",1,3,2,3,2,1,1,1,1,0,1
"123",3,2,3,2,1,1,1,1,0,-1,1
"124",2,3,2,1,1,1,1,0,-1,1,1
"125",3,2,1,1,1,1,0,-1,1,1,1
"126",2,1,1,1,1,0,-1,1,1,1,1
"127",1,1,1,1,1,-1,1,1,1,1,2
"128",1,1,1,1,1,0,1,-1,0,-1,1
"129",2,1,1,3,3,1,0,1,-1,0,2
"130",3,1,3,2,2,1,1,1,-1,0,1
"131",1,3,2,3,1,1,1,1,0,1,1
"132",1,2,1,1,3,0,-1,-1,0,0,1
"133",1,1,1,1,1,1,-1,0,-1,1,1
"134",1,1,3,3,1,0,1,-1,0,1,2
"135",1,3,2,2,2,1,1,-1,0,-1,1
"136",3,2,3,1,2,1,1,0,1,0,1
"137",2,1,1,3,1,-1,-1,0,0,1,1
"138",1,1,1,1,1,-1,0,-1,1,-1,1
"139",1,3,3,1,2,1,-1,0,1,-1,2
"140",3,2,2,2,2,1,-1,0,-1,0,1
"141",2,3,1,2,3,1,0,1,0,1,1
"142",1,1,3,1,3,-1,0,0,1,-1,1
"143",1,1,1,1,1,0,-1,1,-1,0,2
"144",3,3,1,2,3,-1,0,1,-1,1,1
"145",2,2,2,2,2,-1,0,-1,0,-1,3
"146",3,1,2,3,2,0,1,0,1,1,2
"147",1,3,1,3,2,0,0,1,-1,1,2
"148",1,1,1,1,2,-1,1,-1,0,-1,2
"149",3,1,2,3,1,0,1,-1,1,0,1
"150",2,2,2,2,3,0,-1,0,-1,0,3
"151",1,2,3,2,1,1,0,1,1,0,2
"152",3,1,3,2,3,0,1,-1,1,1,2
"153",1,1,1,2,2,1,-1,0,-1,1,2
"154",1,2,3,1,3,1,-1,1,0,1,1
"155",2,2,2,3,3,-1,0,-1,0,1,3
"156",2,3,2,1,3,0,1,1,0,0,2
"157",1,3,2,3,1,1,-1,1,1,1,2
"158",1,1,2,2,2,-1,0,-1,1,1,2
"159",2,3,1,3,2,-1,1,0,1,-1,1
"160",2,2,3,3,1,0,-1,0,1,-1,3
"161",3,2,1,3,2,1,1,0,0,0,2
"162",3,2,3,1,2,-1,1,1,1,-1,2
"163",1,2,2,2,2,0,-1,1,1,0,3
"164",3,1,3,2,1,1,0,1,-1,1,1
"165",2,3,3,1,3,-1,0,1,-1,-1,3
"166",2,1,3,2,1,1,0,0,0,0,2
"167",2,3,1,2,3,1,1,1,-1,1,2
"168",2,2,2,2,3,-1,1,1,0,1,2
"169",1,3,2,1,3,0,1,-1,1,1,1
"170",3,3,1,3,3,0,1,-1,-1,-1,3
"171",1,3,2,1,1,0,0,0,0,1,2
"172",3,1,2,3,2,1,1,-1,1,0,2
"173",2,2,2,3,2,1,1,0,1,1,3
"174",3,2,1,3,3,1,-1,1,1,1,1
"175",3,1,3,3,3,1,-1,-1,-1,-1,3
"176",3,2,1,1,2,0,0,0,1,1,2
"177",1,2,3,2,2,1,-1,1,0,0,2
"178",2,2,3,2,3,1,0,1,1,-1,2
"179",2,1,3,3,2,-1,1,1,1,-1,1
"180",1,3,3,3,2,-1,-1,-1,-1,0,3
"181",2,1,1,2,2,0,0,1,1,1,2
"182",2,3,2,2,3,-1,1,0,0,1,2
"183",2,3,2,3,2,0,1,1,-1,1,3
"184",1,3,3,2,1,1,1,1,-1,0,1
"185",3,3,3,2,2,-1,-1,-1,0,1,3
"186",1,1,2,2,3,0,1,1,1,1,2
"187",3,2,2,3,1,1,0,0,1,0,2
"188",3,2,3,2,3,1,1,-1,1,0,3
"189",3,3,2,1,2,1,1,-1,0,0,1
"190",3,3,2,2,2,-1,-1,0,1,0,3
"191",1,2,2,3,2,1,1,1,1,-1,2
"192",2,2,3,1,2,0,0,1,0,0,2
"193",2,3,2,3,3,1,-1,1,0,1,2
"194",3,2,1,2,1,1,-1,0,0,0,1
"195",3,2,2,2,2,-1,0,1,0,1,3
"196",2,2,3,2,2,1,1,1,-1,1,2
"197",2,3,1,2,3,0,1,0,0,-1,2
"198",3,2,3,3,2,-1,1,0,1,0,2
"199",2,1,2,1,1,-1,0,0,0,-1,1
"200",2,2,2,2,2,0,1,0,1,1,3
"201",2,3,2,2,1,1,1,-1,1,-1,2
"202",3,1,2,3,2,1,0,0,-1,0,2
"203",2,3,3,2,2,1,0,1,0,-1,2
"204",1,2,1,1,3,0,0,0,-1,1,1
"205",2,2,2,2,1,1,0,1,1,0,3
"206",3,2,2,1,3,1,-1,1,-1,1,2
"207",1,2,3,2,1,0,0,-1,0,1,2
"208",3,3,2,2,2,0,1,0,-1,1,2
"209",2,1,1,3,2,0,0,-1,1,-1,1
"210",2,2,2,1,3,0,1,1,0,0,3
"211",2,2,1,3,2,-1,1,-1,1,-1,2
"212",2,3,2,1,1,0,-1,0,1,0,2
"213",3,2,2,2,2,1,0,-1,1,0,2
"214",1,1,3,2,1,0,-1,1,-1,-1,1
"215",2,2,1,3,2,1,1,0,0,1,3
"216",2,1,3,2,1,1,-1,1,-1,1,2
"217",3,2,1,1,1,-1,0,1,0,0,2
"218",2,2,2,2,2,0,-1,1,0,-1,2
"219",1,3,2,1,3,-1,1,-1,-1,-1,1
"220",2,1,3,2,3,1,0,0,1,0,3
"221",1,3,2,1,1,-1,1,-1,1,-1,2
"222",2,1,1,1,3,0,1,0,0,1,2
"223",2,2,2,2,2,-1,1,0,-1,1,2
"224",3,2,1,3,2,1,-1,-1,-1,-1,1
"225",1,3,2,3,1,0,0,1,0,0,3
"226",3,2,1,1,1,1,-1,1,-1,0,2
"227",1,1,1,3,3,1,0,0,1,1,2
"228",2,2,2,2,2,1,0,-1,1,0,2
"229",2,1,3,2,3,-1,-1,-1,-1,-1,1
"230",3,2,3,1,2,0,1,0,0,1,3
"231",2,1,1,1,3,-1,1,-1,0,0,2
"232",1,1,3,3,1,0,0,1,1,1,2
"233",2,2,2,2,2,0,-1,1,0,0,2
"234",1,3,2,3,1,-1,-1,-1,-1,-1,1
"235",2,3,1,2,2,1,0,0,1,-1,3
"236",1,1,1,3,2,1,-1,0,0,0,2
"237",1,3,3,1,2,0,1,1,1,0,2
"238",2,2,2,2,2,-1,1,0,0,1,3
"239",3,2,3,1,2,-1,-1,-1,-1,1,1
"240",3,1,2,2,2,0,0,1,-1,1,3
"241",1,1,3,2,3,-1,0,0,0,0,2
"242",3,3,1,2,2,1,1,1,0,0,2
"243",2,2,2,2,3,1,0,0,1,0,2
"244",2,3,1,2,1,-1,-1,-1,1,-1,1
"245",1,2,2,2,1,0,1,-1,1,0,3
"246",1,3,2,3,1,0,0,0,0,0,2
"247",3,1,2,2,3,1,1,0,0,-1,2
"248",2,2,2,3,2,0,0,1,0,0,3
"249",3,1,2,1,1,-1,-1,1,-1,1,1
"250",2,2,2,1,3,1,-1,1,0,1,3
"251",3,2,3,1,1,0,0,0,0,0,2
"252",1,2,2,3,3,1,0,0,-1,0,2
"253",2,2,3,2,3,0,1,0,0,1,2
"254",1,2,1,1,1,-1,1,-1,1,1,1
"255",2,2,1,3,2,-1,1,0,1,0,3
"256",2,3,1,1,2,0,0,0,0,-1,2
"257",2,2,3,3,2,0,0,-1,0,1,2
"258",2,3,2,3,2,1,0,0,1,0,3
"259",2,1,1,1,3,1,-1,1,1,0,1
"260",2,1,3,2,3,1,0,1,0,1,3
"261",3,1,1,2,1,0,0,0,-1,0,2
"262",2,3,3,2,1,0,-1,0,1,-1,2
"263",3,2,3,2,3,0,0,1,0,-1,3
"264",1,1,1,3,2,-1,1,1,0,-1,1
"265",1,3,2,3,1,0,1,0,1,-1,3
"266",1,1,2,1,2,0,0,-1,0,1,2
"267",3,3,2,1,2,-1,0,1,-1,-1,2
"268",2,3,2,3,3,0,1,0,-1,1,3
"269",1,1,3,2,3,1,1,0,-1,1,1
"270",3,2,3,1,2,1,0,1,-1,-1,3
"271",1,2,1,2,3,0,-1,0,1,-1,2
"272",3,2,1,2,3,0,1,-1,-1,0,2
"273",3,2,3,3,3,1,0,-1,1,1,3
"274",1,3,2,3,3,1,0,-1,1,0,1
"275",2,3,1,2,3,0,1,-1,-1,-1,3
"276",2,1,2,3,3,-1,0,1,-1,0,2
"277",2,1,2,3,1,1,-1,-1,0,1,2
"278",2,3,3,3,3,0,-1,1,1,1,3
"279",3,2,3,3,3,0,-1,1,0,1,1
"280",3,1,2,3,1,1,-1,-1,-1,1,3
"281",1,2,3,3,2,0,1,-1,0,1,2
"282",1,2,3,1,2,-1,-1,0,1,0,2
"283",3,3,3,3,3,-1,1,1,1,-1,3
"284",2,3,3,3,1,-1,1,0,1,0,1
"285",1,2,3,1,2,-1,-1,-1,1,-1,3
"286",2,3,3,2,1,1,-1,0,1,-1,2
"287",2,3,1,2,2,-1,0,1,0,-1,2
"288",3,3,3,3,3,1,1,1,-1,0,3
"289",3,3,3,1,2,1,0,1,0,1,1
"290",2,3,1,2,2,-1,-1,1,-1,0,3
"291",3,3,2,1,1,-1,0,1,-1,-1,2
"292",3,1,2,2,1,0,1,0,-1,-1,2
"293",3,3,3,3,3,1,1,-1,0,1,3
"294",3,3,1,2,1,0,1,0,1,0,1
"295",3,1,2,2,2,-1,1,-1,0,0,3
"296",3,2,1,1,2,0,1,-1,-1,0,2
"297",1,2,2,1,3,1,0,-1,-1,-1,2
"298",3,3,3,3,3,1,-1,0,1,-1,3
"299",3,1,2,1,1,1,0,1,0,1,1
"300",1,2,2,2,2,1,-1,0,0,-1,3
"301",2,1,1,2,1,1,-1,-1,0,-1,2
"302",2,2,1,3,1,0,-1,-1,-1,0,2
"303",3,3,3,3,3,-1,0,1,-1,-1,3
"304",1,2,1,1,3,0,1,0,1,-1,1
"305",2,2,2,2,1,-1,0,0,-1,-1,3
"306",1,1,2,1,3,-1,-1,0,-1,-1,2
"307",2,1,3,1,1,-1,-1,-1,0,0,2
"308",3,3,3,3,3,0,1,-1,-1,1,1
"309",2,1,1,3,2,1,0,1,-1,0,2
"310",2,2,2,1,1,0,0,-1,-1,-1,1
"311",1,2,1,3,3,-1,0,-1,-1,0,1
"312",1,3,1,1,2,-1,-1,0,0,1,1
"313",3,3,3,3,1,1,-1,-1,1,0,3
"314",1,1,3,2,3,0,1,-1,0,0,1
"315",2,2,1,1,1,0,-1,-1,-1,1,3
"316",2,1,3,3,3,0,-1,-1,0,1,2
"317",3,1,1,2,1,-1,0,0,1,1,2
"318",3,3,3,1,3,-1,-1,1,0,0,2
"319",1,3,2,3,1,1,-1,0,0,-1,1
"320",2,1,1,1,1,-1,-1,-1,1,1,3
"321",1,3,3,3,2,-1,-1,0,1,-1,2
"322",1,1,2,1,3,0,0,1,1,-1,2
"323",3,3,1,3,2,-1,1,0,0,-1,3
"324",3,2,3,1,1,-1,0,0,-1,1,1
"325",1,1,1,1,3,-1,-1,1,1,1,3
"326",3,3,3,2,3,-1,0,1,-1,0,2
"327",1,2,1,3,2,0,1,1,-1,-1,2
"328",3,1,3,2,3,1,0,0,-1,-1,3
"329",2,3,1,1,1,0,0,-1,1,-1,1
"330",1,1,1,3,2,-1,1,1,1,1,3
"331",3,3,2,3,3,0,1,-1,0,0,2
"332",2,1,3,2,2,1,1,-1,-1,0,2
"333",1,3,2,3,3,0,0,-1,-1,1,3
"334",3,1,1,1,2,0,-1,1,-1,-1,1
"335",1,1,3,2,2,1,1,1,1,0,3
"336",3,2,3,3,3,1,-1,0,0,1,2
"337",1,3,2,2,2,1,-1,-1,0,-1,2
"338",3,2,3,3,3,0,-1,-1,1,1,3
"339",1,1,1,2,2,-1,1,-1,-1,1,1
"340",1,3,2,2,2,1,1,1,0,-1,3
"341",2,3,3,3,1,-1,0,0,1,0,2
"342",3,2,2,2,2,-1,-1,0,-1,1,2
"343",2,3,3,3,3,-1,-1,1,1,-1,3
"344",1,1,2,2,3,1,-1,-1,1,-1,1
"345",3,2,2,2,2,1,1,0,-1,-1,3
"346",3,3,3,1,2,0,0,1,0,0,2
"347",2,2,2,2,3,-1,0,-1,1,-1,2
"348",3,3,3,3,3,-1,1,1,-1,-1,3
"349",1,2,2,3,3,-1,-1,1,-1,0,1
"350",2,2,2,2,2,1,0,-1,-1,0,3
"351",3,3,1,2,1,0,1,0,0,0,2
"352",2,2,2,3,3,0,-1,1,-1,-1,2
"353",3,3,3,3,3,1,1,-1,-1,0,3
"354",2,2,3,3,2,-1,1,-1,0,1,1
"355",2,2,2,2,2,0,-1,-1,0,-1,3
"356",3,1,2,1,1,1,0,0,0,1,2
"357",2,2,3,3,3,-1,1,-1,-1,1,2
"358",3,3,3,3,3,1,-1,-1,0,1,3
"359",2,3,3,2,2,1,-1,0,1,1,1
"360",2,2,2,2,2,-1,-1,0,-1,0,3
"361",1,2,1,1,2,0,0,0,1,1,2
"362",2,3,3,3,1,1,-1,-1,1,0,2
"363",3,3,3,3,3,-1,-1,0,1,-1,3
"364",3,3,2,2,1,-1,0,1,1,0,1
"365",2,2,2,2,2,-1,0,-1,0,0,3
"366",2,1,1,2,3,0,0,1,1,0,2
"367",3,3,3,1,2,-1,-1,1,0,0,2
"368",3,3,3,3,3,-1,0,1,-1,1,3
"369",3,2,2,1,1,0,1,1,0,1,1
"370",2,2,2,2,2,0,-1,0,0,1,3
"371",1,1,2,3,1,0,1,1,0,-1,2
"372",3,3,1,2,2,-1,1,0,0,-1,2
"373",3,3,3,3,3,0,1,-1,1,1,3
"374",2,2,1,1,3,1,1,0,1,0,1
"375",2,2,2,2,3,-1,0,0,1,-1,3
"376",1,2,3,1,3,1,1,0,-1,1,2
"377",3,1,2,2,2,1,0,0,-1,1,2
"378",3,3,3,3,3,1,-1,1,1,0,2
"379",2,1,1,3,1,1,0,1,0,1,1
"380",2,2,2,3,2,0,0,1,-1,0,3
"381",2,3,1,3,2,1,0,-1,1,0,2
"382",1,2,2,2,1,0,0,-1,1,1,2
"383",3,3,3,3,2,-1,1,1,0,0,2
"384",1,1,3,1,1,0,1,0,1,-1,1
"385",2,2,3,2,3,0,1,-1,0,0,3
"386",3,1,3,2,2,0,-1,1,0,1,2
"387",2,2,2,1,3,0,-1,1,1,1,2
"388",3,3,3,2,2,1,1,0,0,1,3
"389",1,3,1,1,1,1,0,1,-1,1,1
"390",2,3,2,3,3,1,-1,0,0,-1,3
"391",1,3,2,2,3,-1,1,0,1,0,2
"392",2,2,1,3,2,-1,1,1,1,1,2
"393",3,3,2,2,3,1,0,0,1,0,2
"394",3,1,1,1,2,0,1,-1,1,0,1
"395",3,2,3,3,3,-1,0,0,-1,-1,3
"396",3,2,2,3,1,1,0,1,0,1,2
"397",2,1,3,2,1,1,1,1,1,1,2
"398",3,2,2,3,2,0,0,1,0,-1,3
"399",1,1,1,2,3,1,-1,1,0,-1,1
"400",2,3,3,3,3,0,0,-1,-1,-1,3
"401",2,2,3,1,1,0,1,0,1,0,2
"402",1,3,2,1,2,1,1,1,1,-1,2
"403",2,2,3,2,3,0,1,0,-1,1,2
"404",1,1,2,3,2,-1,1,0,-1,0,1
"405",3,3,3,3,1,0,-1,-1,-1,-1,3
"406",2,3,1,1,1,1,0,1,0,1,2
"407",3,2,1,2,3,1,1,1,-1,-1,2
"408",2,3,2,3,2,1,0,-1,1,-1,1
"409",1,2,3,2,3,1,0,-1,0,0,2
"410",3,3,3,1,2,-1,-1,-1,-1,-1,1
"411",3,1,1,1,3,0,1,0,1,-1,1
"412",2,1,2,3,3,1,1,-1,-1,-1,1
"413",3,2,3,2,1,0,-1,1,-1,1,2
"414",2,3,2,3,1,0,-1,0,0,1,1
"415",3,3,1,2,3,-1,-1,-1,-1,1,3
"416",1,1,1,3,3,1,0,1,-1,-1,2
"417",1,2,3,3,1,1,-1,-1,-1,0,2
"418",2,3,2,1,2,-1,1,-1,1,0,1
"419",3,2,3,1,2,-1,0,0,1,1,2
"420",3,1,2,3,1,-1,-1,-1,1,1,1
"421",1,1,3,3,3,0,1,-1,-1,-1,1
"422",2,3,3,1,2,-1,-1,-1,0,0,1
"423",3,2,1,2,1,1,-1,1,0,1,1
"424",2,3,1,2,3,0,0,1,1,-1,2
"425",1,2,3,1,2,-1,-1,1,1,0,1
"426",1,3,3,3,3,1,-1,-1,-1,0,1
"427",3,3,1,2,2,-1,-1,0,0,1,1
"428",2,1,2,1,1,-1,1,0,1,-1,1
"429",3,1,2,3,3,0,1,1,-1,-1,2
"430",2,3,1,2,3,-1,1,1,0,1,1
"431",3,3,3,3,3,-1,-1,-1,0,0,1
"432",3,1,2,2,3,-1,0,0,1,0,1
"433",1,2,1,1,1,1,0,1,-1,0,1
"434",1,2,3,3,3,1,1,-1,-1,0,2
"435",3,1,2,3,1,1,1,0,1,1,1
"436",3,3,3,3,2,-1,-1,0,0,0,1
"437",1,2,2,3,3,0,0,1,0,-1,1
"438",2,1,1,1,1,0,1,-1,0,1,1
"439",2,3,3,3,3,1,-1,-1,0,0,2
"440",1,2,3,1,2,1,0,1,1,-1,1
"441",3,3,3,2,1,-1,0,0,0,1,1
"442",2,2,3,3,1,0,1,0,-1,0,1
"443",1,1,1,1,1,1,-1,0,1,1,1
"444",3,3,3,3,3,-1,-1,0,0,1,2
"445",2,3,1,2,1,0,1,1,-1,1,1
"446",3,3,2,1,2,0,0,0,1,0,1
"447",2,3,3,1,2,1,0,-1,0,0,1
"448",1,1,1,1,1,-1,0,1,1,1,3
"449",3,3,3,3,1,-1,0,0,1,0,1
"450",3,1,2,1,1,1,1,-1,1,1,3
"451",3,2,1,2,3,0,0,1,0,0,2
"452",3,3,1,2,1,0,-1,0,0,-1,2
"453",1,1,1,1,3,0,1,1,1,1,1
"454",3,3,3,1,2,0,0,1,0,1,2
"455",1,2,1,1,1,1,-1,1,1,-1,1
"456",2,1,2,3,2,0,1,0,0,1,1
"457",3,1,2,1,3,-1,0,0,-1,-1,1
"458",1,1,1,3,1,1,1,1,1,0,2
"459",3,3,1,2,3,0,1,0,1,0,1
"460",2,1,1,1,2,-1,1,1,-1,0,3
"461",1,2,3,2,3,1,0,0,1,1,2
"462",1,2,1,3,3,0,0,-1,-1,1,2
"463",1,1,3,1,2,1,1,1,0,0,2
"464",3,1,2,3,3,1,0,1,0,0,1
"465",1,1,1,2,2,1,1,-1,0,1,3
"466",2,3,2,3,1,0,0,1,1,1,2
"467",2,1,3,3,2,0,-1,-1,1,-1,2
"468",1,3,1,2,2,1,1,0,0,1,2
"469",1,2,3,3,3,0,1,0,0,1,1
"470",1,1,2,2,2,1,-1,0,1,1,3
"471",3,2,3,1,2,0,1,1,1,0,2
"472",1,3,3,2,2,-1,-1,1,-1,-1,2
"473",3,1,2,2,2,1,0,0,1,0,2
"474",2,3,3,3,3,1,0,0,1,1,1
"475",1,2,2,2,2,-1,0,1,1,-1,3
"476",2,3,1,2,3,1,1,1,0,0,2
"477",3,3,2,2,2,-1,1,-1,-1,-1,2
"478",1,2,2,2,2,0,0,1,0,-1,2
"479",3,3,3,3,3,0,0,1,1,1,1
"480",2,2,2,2,3,0,1,1,-1,0,3
"481",3,1,2,3,3,1,1,0,0,0,2
"482",3,2,2,2,2,1,-1,-1,-1,0,2
"483",2,2,2,2,2,0,1,0,-1,1,1
"484",3,3,3,3,3,0,1,1,1,-1,2
"485",2,2,2,3,2,1,1,-1,0,-1,1
"486",1,2,3,3,3,1,0,0,0,-1,1
"487",2,2,2,2,1,-1,-1,-1,0,0,1
"488",2,2,2,2,1,1,0,-1,1,0,2
"489",3,3,3,3,3,1,1,1,-1,0,1
"490",2,2,3,2,1,1,-1,0,-1,-1,3
"491",2,3,3,3,1,0,0,0,-1,0,2
"492",2,2,2,1,1,-1,-1,0,0,-1,2
"493",2,2,2,1,2,0,-1,1,0,-1,3
"494",3,3,3,3,3,1,1,-1,0,0,1
"495",2,3,2,1,3,-1,0,-1,-1,-1,3
"496",3,3,3,1,1,0,0,-1,0,1,2
"497",2,2,1,1,1,-1,0,0,-1,-1,2
"498",2,2,1,2,3,-1,1,0,-1,-1,1
"499",3,3,3,3,3,1,-1,0,0,-1,2
"500",3,2,1,3,2,0,-1,-1,-1,-1,1
"501",3,3,1,1,2,0,-1,0,1,1,1
"502",2,1,1,1,1,0,0,-1,-1,0,1
"503",2,1,2,3,1,1,0,-1,-1,-1,2
"504",3,3,3,3,3,-1,0,0,-1,1,1
"505",2,1,3,2,3,-1,-1,-1,-1,1,3
"506",3,1,1,2,2,-1,0,1,1,0,2
"507",1,1,1,1,3,0,-1,-1,0,1,2
"508",1,2,3,1,2,0,-1,-1,-1,0,3
"509",3,3,3,3,1,0,0,-1,1,1,1
"510",1,3,2,3,2,-1,-1,-1,1,-1,3
"511",1,1,2,2,2,0,1,1,0,0,2
"512",1,1,1,3,2,-1,-1,0,1,1,2
"513",2,3,1,2,3,-1,-1,-1,0,1,1
"514",3,3,3,1,2,0,-1,1,1,0,2
"515",3,2,3,2,2,-1,-1,1,-1,0,1
"516",1,2,2,2,1,1,1,0,0,1,1
"517",1,1,3,2,1,-1,0,1,1,-1,1
"518",3,1,2,3,1,-1,-1,0,1,-1,2
"519",3,3,1,2,1,-1,1,1,0,1,1
"520",2,3,2,2,2,-1,1,-1,0,-1,3
"521",2,2,2,1,3,1,0,0,1,1,2
"522",1,3,2,1,1,0,1,1,-1,0,2
"523",1,2,3,1,2,-1,0,1,-1,1,3
